#IID,Apolipoprotein_B_Pos_SUM,CRP_Neg_SUM,Diffusivity_inferior_longitudinal_fasciculus_Neg_SUM,ICVF_Cingulum_CingulateR_SUM,Proinsulin_Neg_SUM,T2stat_PutamenL_Neg_SUM,Total_GRS_SUM
HG00319,0,0,0,0,0,0,17.7661
HG00320,0,0,0,0,0,0,13.7212
HG00321,0,0,0,0,0,0,16.318
HG00323,0,0,0,0,0,0,10.6157
HG00324,0,0,0,1.78141,0,0,19.9353
HG00325,0,0,0,0,0,0,15.459
HG00326,0,0,0,0,0,0,11.4545
HG00327,0,0,0,0,0,0,15.459
HG00328,0,0,0,0,0,0,10.8652
HG00329,0,0,0,0,0,0,30.7422
HG00330,0,0,0,0,0,0,10.8652
HG00331,0,0,0,0,0,0,15.459
HG00332,0,0,0,1.78141,0,0,20.8343
HG00334,0,0,0,1.78141,0,0,15.6311
HG00335,0,0,0,1.78141,0,0,19.9353
HG00336,0,0,0,0,0,0,10.8652
HG00337,0,0,0,0,0,0,13.4619
HG00338,0,0,0,0,0,0,20.9216
HG00339,0,0,0,0,0,0,10.6157
HG00341,0,0,0,0,0,0,8.00917
HG00342,0,0,0,1.78141,0,0,23.9399
HG00343,0,0,0,0,0,0,19.2877
HG00344,0,0,0,0,0,0,9.45733
HG00345,0,0,0,1.78141,0,0,12.7751
HG00346,0,0,0,0,0,0,23.5516
HG00349,0,0,0,0,0,0,28.1121
HG00350,0,0,0,1.78141,0,0,32.9114
HG00351,0,0,0,0,0,0,20.9952
HG00353,0,0,0,1.78141,0,0,18.6009
HG00355,0,0,0,1.78141,0,0,12.7751
HG00356,0,0,0,0,0,0,13.4717
HG00357,0,0,0,0,0,0,16.318
HG00358,0,0,0,1.78141,0,0,22.532
HG00360,0,0,0,0,0,0,8.00917
HG00361,0,0,0,1.78141,0,0,23.6903
HG00362,0,0,0,1.78141,0,0,21.0839
HG00364,0,0,0,0,0,0,22.1438
HG00365,0,0,0,3.56282,0,0,33.0834
HG00366,0,0,0,0,0,0,13.4619
HG00367,0,0,0,1.78141,0,0,27.2827
HG00368,0,0,0,0,0,0,6.86062
HG00369,0,0,0,3.56282,0,0,20.9863
HG00371,0,0,0,1.78141,0,0,20.2249
HG00372,0,0,0,0,0,0,21.904
HG00373,0,0,0,0,0,0,16.318
HG00375,0,0,0,0,0,0,14.9199
HG00376,0,0,0,1.78141,0,0,18.6009
HG00378,0,0,0,1.78141,0,0,14.233
HG00379,0,0,0,0,0,0,13.835
HG00380,0,0,0,1.78141,0,0,28.9068
HG00381,0,0,0,1.78141,0,0,23.9399
HG00382,0,0,0,0,0,0,5.46253
HG00383,0,0,0,1.78141,0,0,22.6055
